City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Kavieng,PG,-2.5744,150.7967,83.84,66,28,8.43,scattered clouds
109,Puerto Ayora,EC,-0.7393,-90.3518,75.99,95,24,4.0,few clouds
110,Ponazyrevo,RU,58.3578,46.3142,49.15,76,83,6.53,broken clouds
111,Yellowknife,CA,62.456,-114.3525,35.01,80,90,6.91,overcast clouds
112,Xichang,CN,27.8964,102.2634,81.0,27,13,2.98,few clouds
113,Shimoda,JP,34.6667,138.95,72.0,83,75,23.02,broken clouds
114,Bambous Virieux,MU,-20.3428,57.7575,82.99,74,40,12.66,light rain
115,Kamennogorsk,RU,60.9545,29.1339,37.99,76,99,1.01,overcast clouds
116,Magistralnyy,RU,56.1725,107.4458,37.08,54,100,8.97,light snow
117,Aklavik,CA,68.2191,-135.0107,30.2,59,71,9.22,broken clouds
118,Saint-Augustin,CA,51.226,-58.6502,32.77,78,7,7.2,clear sky
119,San Patricio,US,28.017,-97.5169,75.2,88,90,10.36,overcast clouds
120,Kampot,KH,10.6167,104.1833,87.8,62,40,5.75,scattered clouds
121,Viljoenskroon,ZA,-27.2084,26.9485,61.65,46,1,2.04,clear sky
122,Dolores,AR,-36.3132,-57.6792,55.53,88,0,5.59,clear sky
123,Saskylakh,RU,71.9167,114.0833,25.48,79,85,3.83,overcast clouds
124,Poum,NC,-20.2333,164.0167,78.28,83,99,13.62,overcast clouds
125,Ca Mau,VN,9.1769,105.15,96.08,40,62,3.74,broken clouds
126,Victoria,HK,22.2855,114.1577,82.4,65,20,18.41,few clouds
127,Bergama,TR,39.1207,27.1805,60.8,93,40,4.61,scattered clouds
128,Wanaka,NZ,-44.7,169.15,61.0,72,33,1.01,scattered clouds
129,Leh,IN,34.1667,77.5833,39.45,51,81,4.85,broken clouds
130,Maun,BW,-19.9833,23.4167,59.0,77,0,5.75,clear sky
131,Mamou,GN,10.5,-12.0,72.43,82,100,2.73,overcast clouds
132,Harnosand,SE,62.6323,17.9379,28.99,93,0,4.61,clear sky
133,Maragogi,BR,-9.0122,-35.2225,77.25,86,65,3.58,broken clouds
134,Baturaja,ID,-4.1333,104.1667,87.94,54,95,3.89,overcast clouds
135,Beringovskiy,RU,63.05,179.3167,14.34,85,92,11.34,overcast clouds
136,Tokur,RU,53.1333,132.9,17.91,69,100,6.51,overcast clouds
137,Dukat,RU,62.55,155.55,7.9,74,7,3.74,clear sky
