City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Gorssel,NL,36.0,scattered clouds,52.2017,6.2014,Postillion Hotel Deventer
627,Livingston,GB,30.99,fog,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
635,Pangody,RU,25.38,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
641,Berdigestyakh,RU,28.31,broken clouds,62.0989,126.6992,
649,High Level,CA,33.8,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
654,Asvanyraro,HU,39.0,overcast clouds,47.8273,17.4942,Orchidea Hotel Lipót
663,Kirensk,RU,35.2,light snow,57.7853,108.1119,Kirenskiy Plos
691,Anaconda,US,24.8,overcast clouds,46.1285,-112.9423,Trade Wind Motel
698,Sosnovo-Ozerskoye,RU,36.57,overcast clouds,52.5249,111.5418,
702,Sorland,NO,33.8,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
705,Udachnyy,RU,28.27,broken clouds,66.4167,112.4,Severnoye Siyaniye
